verbatim_name,verbatim_aphia_id,accepted_name,aphia_id,SpecCode,kingdom,phylum,class,order,family,genus,rank
POLYMIXIA LOWEI,NA,Polymixia lowei,158923,3245,Animalia,Chordata,Teleostei,Polymixiiformes,Polymixiidae,Polymixia,Species
AETOBATIS NARINARI,NA,Aetobatus narinari,217426,1250,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Aetobatidae,Aetobatis,Species
DECAPTERUS PUNCTATUS,NA,Decapterus punctatus,126808,994,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Decapterus,Species
AULOSTOMUS MACULATUS,NA,Aulostomus maculatus,278080,964,Animalia,Chordata,Teleostei,Syngnathiformes,Aulostomidae,Aulostomus,Species
CARCHARHINUS OBSCURUS,NA,Carcharhinus obscurus,105796,878,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Species
DASYATIS AMERICANA,NA,Hypanus americanus,1042856,1247,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,Species
MYLIOBATIS FREMINVILLEI,NA,Myliobatis freminvillei,399783,1251,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,Species
CARCHARHINUS PLUMBEUS,NA,Carcharhinus plumbeus,105797,880,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Species
DASYATIS SAY,NA,Hypanus say,1042865,2575,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,Species
SQUATINA DUMERIL,NA,Squatina dumeril,158525,731,Animalia,Chordata,Elasmobranchii,Squatiniformes,Squatinidae,Squatina,Species
PRIACANTHUS ARENATUS,NA,Priacanthus arenatus,127005,1149,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Priacanthidae,Priacanthus,Species
SYNAGROPS BELLUS,NA,Synagrops bellus,159584,3311,Animalia,Chordata,Teleostei,Acropomatiformes,Acropomatidae,Synagrops,Species
MICROPOGONIAS UNDULATUS,NA,Micropogonias undulatus,151158,408,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Micropogonias,Species
RAJA EGLANTERIA,NA,Rostroraja eglanteria,1460141,1252,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,Species
DASYATIS CENTROURA,NA,Bathytoshia centroura,1017389,2572,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,Species
OPHIDION MARGINATUM,NA,Ophidion marginatum,158767,3114,Animalia,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Ophidion,Species
PRIONOTUS PARALATUS,NA,Prionotus paralatus,276287,4023,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Prionotus,Species
SCOMBER JAPONICUS,NA,Scomber japonicus,127022,117,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Scomber,Species
CARANGIDAE,NA,Carangidae,125523,NA,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,NA,Family
XIPHIAS GLADIUS,NA,Xiphias gladius,127094,226,Animalia,Chordata,Teleostei,Carangiformes,Xiphiidae,Xiphias,Species
CARANX CRYSOS,NA,Caranx crysos,126802,1933,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Caranx,Species
SELENE SETAPINNIS,NA,Selene setapinnis,159647,378,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Selene,Species
STOMIIDAE,NA,Stomiidae,125604,NA,Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,NA,Family
SELENE VOMER,NA,Selene vomer,159649,1004,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Selene,Species
MYLIOBATIS GOODEI,NA,Myliobatis goodei,271487,2583,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,Species
CENTROSCYLLIUM FABRICII,NA,Centroscyllium fabricii,105906,656,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Centroscyllium,Species
SERIOLA DUMERILI,NA,Seriola dumerili,126816,1005,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Seriola,Species
BALISTIDAE,NA,Balistidae,125607,NA,Animalia,Chordata,Teleostei,Tetraodontiformes,Balistidae,NA,Family
