year,Method,lat_position,term,estimate,std.error,statistic,p.value,conditional_sd,sig,Edge,Species
1998,0.01 Quantile,40.9,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
1999,Most Distal Point,39.617,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
1999,Mean of Most Distal Points,40.459610999999995,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
1999,Weighted Mean of Most Distal Points,40.6521665,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
1999,0.10 Quantile,41.942,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
1999,0.05 Quantile,41.768833,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
1999,0.01 Quantile,41.234333,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2000,Most Distal Point,41.2675,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
2000,Mean of Most Distal Points,41.53705566666667,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
2000,Weighted Mean of Most Distal Points,41.570750125000004,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
2000,0.10 Quantile,42.191,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
2000,0.05 Quantile,41.844333,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
2000,0.01 Quantile,41.684167,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
2001,Most Distal Point,41.313855,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
2001,Mean of Most Distal Points,41.424611666666664,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
2001,Weighted Mean of Most Distal Points,41.457982,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
2001,0.10 Quantile,42.178932,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
2001,0.05 Quantile,42.060153,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
